farmName,stakingAddress,rewardToken,stakingToken,externalRewardToken1,externalRewardToken2,rewardTokens,token0Address,token1Address,token0Name,token1Name,tvlUSD,rewardsUSDPerYear
UBE-PREMIO,0x478b8D37eE976228d17704d95B5430Cd93a31b87,0x94140c2eA9D208D8476cA4E3045254169791C59e,0x12E42ccf14B283Ef0a36A791892D18BF75Da5c80,,,1,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x94140c2eA9D208D8476cA4E3045254169791C59e,Ubeswap,PREMIO,55068757424819516000000,32860890810633035000000
CELO-MOBI,0xb450940c5297e9b5e7167FAC5903fD1e90b439b8,0x471EcE3750Da237f93B8E339c536989b8978a438,0x0B81CF47C8F97275d14C006E537D5101b6C87300,0x73a210637f6F6B7005512677Ba6B3C96bb4AA44B,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,3,0x471EcE3750Da237f93B8E339c536989b8978a438,0x73a210637f6F6B7005512677Ba6B3C96bb4AA44B,Celo native asset,Mobius DAO Token,659955201690338600000000,483845263736794350000000
mcUSD-mcEUR,0x2Ca16986bEA18D562D26354b4Ff4C504F14fB01c,0x471EcE3750Da237f93B8E339c536989b8978a438,0xF94fEA0C87D2b357DC72b743b45A8cB682b0716E,0x17700282592D6917F6A73D0bF8AcCf4D578c131e,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,3,0x918146359264C492BD6934071c6Bd31C854EDBc3,0xE273Ad7ee11dCfAA87383aD5977EE1504aC07568,Moola interest bearing CUSD,Moola interest bearing CEUR,5779215582696803000000000,273433441606121700000000
POOF-UBE,0x4274AA72B12221D32ca77cB37057A9692E0b59Eb,0x00400FcbF0816bebB94654259de7273f4A05c762,0x573bcEBD09Ff805eD32df2cb1A968418DC74DCf7,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x00400FcbF0816bebB94654259de7273f4A05c762,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,PoofCash,Ubeswap,84107303030873390000000,12307987965298687000000
UBE-TFBX,0x501ba7c59BA8afC1427F75D310A862BA0D2adcD2,0x035eE610693a29Cb77fD6eFBEb9d9d278703e145,0x911923b25c6Ca2B916da8005F0554B365d7dDf33,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x035eE610693a29Cb77fD6eFBEb9d9d278703e145,Ubeswap,Truefeedback,59295867545661780000000,101970132637575950000000
rCELO-CELO,0x194478Aa91e4D7762c3E51EeE57376ea9ac72761,0x471EcE3750Da237f93B8E339c536989b8978a438,0x58FfF7110e39c733fD37742b8850f9205fBC351B,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x1a8Dbe5958c597a744Ba51763AbEBD3355996c3e,0x471EcE3750Da237f93B8E339c536989b8978a438,RewardsCELO,Celo native asset,84077346250521890000000,0
CELO-mcUSD,0x161c77b4919271B7ED59AdB2151FdaDe3F907a1F,0x471EcE3750Da237f93B8E339c536989b8978a438,0xb460F9Ae1fEa4f77107146C1960bb1C978118816,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x471EcE3750Da237f93B8E339c536989b8978a438,0x918146359264C492BD6934071c6Bd31C854EDBc3,Celo native asset,Moola interest bearing CUSD,4021488180829028600000000,318245038643997450000000
CELO-mcEUR,0x728C650D1Fb4da2D18ccF4DF45Af70c5AEb09f81,0x471EcE3750Da237f93B8E339c536989b8978a438,0x9f437509E61896738ea8CDb6cDeD618C0e509032,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x471EcE3750Da237f93B8E339c536989b8978a438,0xE273Ad7ee11dCfAA87383aD5977EE1504aC07568,Celo native asset,Moola interest bearing CEUR,851910010567534700000000,89355447071988690000000
mcUSD-WETH,0xD6E28720Fcd1C1aB6da2d1043a6763FDBb67b3aA,0x471EcE3750Da237f93B8E339c536989b8978a438,0xF105Df1aCdd02C10818C1F61DE64D0b65d161F5B,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x918146359264C492BD6934071c6Bd31C854EDBc3,0xE919F65739c26a42616b7b8eedC6b5524d1e3aC4,Moola interest bearing CUSD,Wrapped Ether,31000000000000000000,0
AAVE-mcUSD,0x09c1cF8669f9A026c59EDd4792944a9aCd2d2a2E,0x471EcE3750Da237f93B8E339c536989b8978a438,0xf35E9cA7AD819A748F678C6Bd23A4987287C713C,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x503681c68f03bbbCe48005DCD7b83ae8D4fD745C,0x918146359264C492BD6934071c6Bd31C854EDBc3,Aave Token,Moola interest bearing CUSD,2050000000000000000000,0
FTM-mcUSD,0x3C29593674c5c760172d354acE88Da4D9d3EB64f,0x471EcE3750Da237f93B8E339c536989b8978a438,0x11A0DCe6931528fa45E5E34D79C2761Cc8b96169,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x218c3c3D49d0E7B37aff0D8bB079de36Ae61A4c0,0x918146359264C492BD6934071c6Bd31C854EDBc3,Fantom,Moola interest bearing CUSD,25382128166856368000000,5605240974605539000000
AVAX-mcUSD,0x9584870281DD0d764748a2a234e2218AE544C614,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x11Ce57AaAE0418d120e4415691B6F174219e4b02,,,1,0x8E3670FD7B0935d3FE832711deBFE13BB689b690,0x918146359264C492BD6934071c6Bd31C854EDBc3,AVAX,Moola interest bearing CUSD,90319026363742360000000,11212194295662900000000
mcUSD-BNB,0x522be12487d0640337abCfC7201066eC8F787AC5,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x30F1639B42E5F14c176E47d07199F001F122238c,,,1,0x918146359264C492BD6934071c6Bd31C854EDBc3,0xA649325Aa7C5093d12D6F98EB4378deAe68CE23F,Moola interest bearing CUSD,Binance,84656792922953170000000,11227208157923636000000
WMATIC-mcUSD,0x00C4aCee9eB84B1a6Cdc741AeEd19BF84CbE7bF5,0x471EcE3750Da237f93B8E339c536989b8978a438,0xaA2cD92f13c5bA72291b3fDa9D0D860Aa48A514a,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x3aF556B48469D2398AB7BE1563a0cfd80ea4aC84,0x918146359264C492BD6934071c6Bd31C854EDBc3,Wrapped Matic,Moola interest bearing CUSD,35000000000000000000,0
SOL-CELO,0x83470506ba97dB33Df0EBe01E876C6718C762Df6,0x471EcE3750Da237f93B8E339c536989b8978a438,0x01522C42cA43D7BfD34f373d41AD7d90a95E714C,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x173234922eB27d5138c5e481be9dF5261fAeD450,0x471EcE3750Da237f93B8E339c536989b8978a438,SOL,Celo native asset,121735264978185860000000,16741096546481447000000
UBE-CELO,0x295D6f96081fEB1569d9Ce005F7f2710042ec6a1,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0xe7B5AD135fa22678F426A381C7748f6A5f2c9E6C,,,1,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x471EcE3750Da237f93B8E339c536989b8978a438,Ubeswap,Celo native asset,1744424617200338300000000,781599559750261400000000
MOO-mCELO,0xE76525610652fFC3aF751Ab0dcC3448B345051F6,0x471EcE3750Da237f93B8E339c536989b8978a438,0x9272388FDf2D6bFbA8b1Cdd99732A3D552a71346,0x17700282592D6917F6A73D0bF8AcCf4D578c131e,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,3,0x17700282592D6917F6A73D0bF8AcCf4D578c131e,0x7D00cd74FF385c955EA3d79e47BF06bD7386387D,Moola,Moola interest bearing CELO,355070989327537900000000,125055751178123120000000
POOF-pCELO,0x7B7F08164036abEbafD1bf75c1464c6F0d01653C,0x00400FcbF0816bebB94654259de7273f4A05c762,0x993B0d1A2C7EFF889F7e4dDC9a03b5085A2D1f27,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x00400FcbF0816bebB94654259de7273f4A05c762,0xE74AbF23E1Fdf7ACbec2F3a30a772eF77f1601E1,PoofCash,Poof CELO,451379205895319800000,0
CELO-KNX,0x1f1678Cc7358F4ed808B53733Bc49c4CFFe8A075,0xa81D9a2d29373777E4082d588958678a6Df5645c,0x806e181798465edF56C66E29e2df01CAF4013f76,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x471EcE3750Da237f93B8E339c536989b8978a438,0xa81D9a2d29373777E4082d588958678a6Df5645c,Celo native asset,KNX,71476584669549380000000,11165627430672188000000
mcUSD-WBTC,0xf3D9E027B131Af5162451601038EddBF456d824B,0x471EcE3750Da237f93B8E339c536989b8978a438,0x724ff4aaFA4fd2C44a1726707C2f1b3d1650Eab9,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x918146359264C492BD6934071c6Bd31C854EDBc3,0xBe50a3013A1c94768A1ABb78c3cB79AB28fc1aCE,Moola interest bearing CUSD,Wrapped BTC,4911000000000000000000,0
mcUSD-SUSHI,0x0E83662A17B8A3a0585DcA34E5BE81ea6bd59556,0x471EcE3750Da237f93B8E339c536989b8978a438,0x736fC67F144e208381b85Dd0898fA1a6677bc437,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x918146359264C492BD6934071c6Bd31C854EDBc3,0xD15EC721C2A896512Ad29C671997DD68f9593226,Moola interest bearing CUSD,SushiToken,1152000000000000000000,0
CRV-mcUSD,0x85B21208C0058019bc8004D85eFEa881E7598D17,0x471EcE3750Da237f93B8E339c536989b8978a438,0xda36A59Ea2D8e5A4dE21Fb153b8dEd5a62BAd9D1,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,,2,0x0a7432cF27F1aE3825c313F3C81e7D3efD7639aB,0x918146359264C492BD6934071c6Bd31C854EDBc3,Curve DAO Token,Moola interest bearing CUSD,1257000000000000000000,0
CELO-WBTC,0xfd517545a5f1BD656b7Fda914a8402c44585fA66,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x9f3574DAe1AeFfD65ef739e9F50e2B9dd8831056,,,1,0x471EcE3750Da237f93B8E339c536989b8978a438,0xBe50a3013A1c94768A1ABb78c3cB79AB28fc1aCE,Celo native asset,Wrapped BTC,2873116815698876000000,0
CELO-WETH,0xF71A0723137Cd94c7FD5Ef573e16dFF0b8fc326B,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0xaE9A62F50171B3E1C4b3345D3638764Ecf1A78a6,,,1,0x471EcE3750Da237f93B8E339c536989b8978a438,0xE919F65739c26a42616b7b8eedC6b5524d1e3aC4,Celo native asset,Wrapped Ether,5864598653517412000000,0
USDC-CELO,0xA6f2ea3008E6BA42B0D3c09159860De24591cd0E,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x684dA04524b1A6BAF99566D722DE94CE989Ea722,,,1,0x2A3684e9Dc20B857375EA04235F2F7edBe818FA7,0x471EcE3750Da237f93B8E339c536989b8978a438,USD Coin,Celo native asset,19805765909996888000000,0
UBE-SBR,0x1eDAceC9A58501b819488d521521fc6aC5dfDBC1,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x218AEd024d51EcBd6a82D143be04Cd25d563628e,,,1,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x47264aE1Fc0c8e6418ebe78630718E11a07346A8,Ubeswap,SBR,19324938977752157000000,5590289468425909000000
UBE-cMCO2,0x9dBfe0aBf21F506525b5bAD0cc467f2FAeBe40a1,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x148C4ce0019a2e53f63DF50a6D9E9C09c5969629,,,1,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x32A9FE697a32135BFd313a6Ac28792DaE4D9979d,Ubeswap,cMCO2,1723253325350199200000,0
stabilUSD-CELO,0xCbd7200d8aaeC695e160D39cA27987B858077c5e,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,0x15292280Dd7fa91D4460e26fAfB5F6dD457C5A5D,,,1,0x0a60c25Ef6021fC3B479914E6bcA7C03c18A97f1,0x471EcE3750Da237f93B8E339c536989b8978a438,Stabilite USD,Celo native asset,30965379373108510000000,5613604078961818000000
SOURCE-mCUSD,0xF4662e4E254006939c2198cb6F61635b03fd14Eb,0x471EcE3750Da237f93B8E339c536989b8978a438,0x1265bb3e69968A14fF7c4d8204b17c6B79A7FF52,0x74c0C58B99b68cF16A717279AC2d056A34ba2bFe,0x00Be915B9dCf56a3CBE739D9B9c202ca692409EC,3,0x74c0C58B99b68cF16A717279AC2d056A34ba2bFe,0x918146359264C492BD6934071c6Bd31C854EDBc3,Source,Moola interest bearing CUSD,308591820752383440000000,697658131154329000000000
